structure_number,county,location,feature_carried,feature_crossed,owner,year_built,year_reconstructed,date_of_last_inspection_mmyy,bridge_condition,latitude,longitude
1056079,Nassau,'.4 MI S JCT RTS 27+135','RTE 135','WAVERLY AVENUE',State Highway Agency,1969,,0718,Good,40.66856111098355,-73.4922555556133
1056100,Nassau,'4 MI E NYC L-RTE 27','MERRICK ROAD WB','27  27 03041042  RTE 27 ',State Highway Agency,1959,,0919,Fair,40.657180555740226,-73.65191388923796
1056119,Suffolk,'2.4 MI NE JCT RTS 231+27','RTE 27','CR57-HOWELLSRD EB',State Highway Agency,1970,,0519,Fair,40.73080555568883,-73.27176388856476
1056129,Suffolk,'2.5 MI NE JCT RTS 231+27','RTE 27','CR57-HOWELLSRD WB',State Highway Agency,1971,,0719,Fair,40.73140277800004,-73.26956944356452
1056130,Suffolk,'2.9 MI NE JCT RTS 231+27','FIFTH AV','27 27 07051095  27 27 07',State Highway Agency,1972,,0619,Fair,40.73281944378142,-73.26173333333996
1056140,Suffolk,'2.1 MI W JCT RTS 27+111','BROOK AVE','27 27 07051103  27 27 07',State Highway Agency,1970,,0819,Good,40.735655555959184,-73.2476583327373
1056150,Suffolk,'1.6 MI W JCT RTS 27+111','BRENTWOOD ROAD','27  27 07051108  27  27',State Highway Agency,1970,,1119,Fair,40.737805556072885,-73.23843055606783
1056171,Suffolk,'.5 MI SE JCT SH454 & SH25','RTE 454','RTE 908K',State Highway Agency,1953,,0218,Good,40.839733332941485,-73.28143888880346
1056172,Suffolk,'.5 MI SE JCT SH454 & SH25','RTE 454','RTE 908K',State Highway Agency,1953,,0218,Fair,40.83952499996457,-73.28130555635747
1056180,Suffolk,'JCT NSP+RTE 454','RTE 454','RTE 908G',State Highway Agency,1964,,1118,Fair,40.83027499981033,-73.25421111064531
1056191,Suffolk,'.4 MI N I495 + SH 24','RTE I495','RIVER RD',State Highway Agency,1972,,1018,Fair,40.909163888832694,-72.73706944399049
1056192,Suffolk,'.4 MI N I495 + SH 24','RTE I495','RIVER RD',State Highway Agency,1972,,1018,Fair,40.90926666684249,-72.73659444361436
1056201,Suffolk,'.8 MILE N JCT I495 & SH24','RTE I495','LIRR- MAIN LINE',State Highway Agency,1972,2015,0819,Fair,40.91366111116715,-72.73348055585284
1056202,Suffolk,'.8 MILE N JCT I495 & SH 2','RTE I495','LIRR - MAIN LINE',State Highway Agency,1972,2015,0819,Fair,40.913858333030795,-72.73284999960882
1056219,Suffolk,'JCT I495 & SH 25','RTE 25','495I EB  RTE I495',State Highway Agency,1972,2017,0319,Good,40.92034444380684,-72.72370833274752
1056220,Suffolk,'0.3 MI NE RTE 495+RTE 25','RTE I495','COUNTY ROAD 58',State Highway Agency,1972,,0818,Good,40.92277777768338,-72.7197805560672
1056230,Suffolk,'.3 MI NW RTE 495+RTE 25','RTE 25','COUNTY RD 58 EB',State Highway Agency,1972,,0818,Poor,40.92322777830292,-72.72667222161954
1056249,Nassau,'1.1 MI E NYC L-RTE 27','RTE 27','VALLEY STRM CULVT',State Highway Agency,1939,1957,0919,Fair,40.6614111110658,-73.70691666688597
1056250,Suffolk,'JCT SH 231 & SSP','RTE 231','RTE 908M',State Highway Agency,1968,,0418,Good,40.73195277772264,-73.32085833340146
1056320,Suffolk,'14.1 MI E SH 112 & SH 27','27COL-DST RD EB','COUNTY ROAD 51',State Highway Agency,1970,,0819,Fair,40.83338611095327,-72.74764166716193
1056331,Suffolk,'14.4 MI E RTS 112+27','RTE 27','COUNTY ROAD 55',State Highway Agency,1970,,0819,Fair,40.836144444149085,-72.74164722184742
1056332,Suffolk,'14.4 MI E RTS 112+27','RTE 27','COUNTY ROAD 55',State Highway Agency,1970,,0819,Fair,40.8358777782544,-72.74164444425658
1056341,Suffolk,'EXIT 62 - SUNRISE HWY','RTE 27','COUNTY ROAD 111',State Highway Agency,1970,,0618,Fair,40.84409722227816,-72.72393888895846
1056342,Suffolk,'EXIT 62 - SUNRISE HWY','RTE 27','COUNTY ROAD 111',State Highway Agency,1970,,0618,Fair,40.843813889275985,-72.72376666664715
1056350,Suffolk,'17 MI E RTS 112+27','SPEONK-RIVERHD RD','27  27 07051408  RTE 27',State Highway Agency,1970,,0719,Good,40.85262222203608,-72.69682777770119
1056369,Suffolk,'20 MI E RTS 112+27','COUNTY ROUTE 31','27 27 07051437  RTE 27',State Highway Agency,1971,2011,0919,Fair,40.86807499998002,-72.6441750000229
1056371,Suffolk,'21.3 MI E RTS 112+27','RTE 27','COUNTY ROAD 104',State Highway Agency,1973,,0919,Fair,40.87062499991458,-72.6167444442573
1056372,Suffolk,'21.3 MI E RTS 112+27','RTE 27','COUNTY ROAD 104',State Highway Agency,1973,,0919,Fair,40.870327777958764,-72.61666944391422
1056381,Suffolk,'.7 MI W JCT SH 24 & SH 27','RTE 27','BELLOWS POND ROAD',State Highway Agency,1973,,0719,Good,40.876486110746185,-72.55063611095862
1056382,Suffolk,'.7 MI W JCT SH 24 & SH 27','RTE 27','BELLOWS POND ROAD',State Highway Agency,1973,,0719,Good,40.87620000028286,-72.55050000002342
1056391,Suffolk,'RTE 24+RTE 27','RTE 27','24  24 07042077  RTE 24',State Highway Agency,1973,,0919,Fair,40.879855556074126,-72.53681944427214
1056392,Suffolk,'RTE 24+RTE 27','RTE 27','24  24 07042077  RTE 24',State Highway Agency,1973,,0919,Fair,40.879563889339195,-72.53670833255296
1056520,Suffolk,'EXIT 61 OF SH 27','27 SERVICE RD WB','COUNTY ROAD 51',State Highway Agency,1970,,0819,Fair,40.83496666718155,-72.7461777779648
1056539,Nassau,'.4 MI N OF ATLANTIC BEACH','RTE 901','878 878 03021032  RTE 87',State Highway Agency,1953,,0619,Fair,40.59863888930207,-73.73683888873832
1056549,Nassau,'3 MI W JCT RTS SSP+WSP','RTE 908M','EAST MEADOW BROOK',State Highway Agency,1956,,0819,Fair,40.69035833324275,-73.57269722163412
1056579,Nassau,'JCT RTS SSP+WSP','RTE 908M','DRAIN-FOREST C PK',State Highway Agency,1956,,0919,Good,40.69859444393764,-73.52118055587202
1056589,Nassau,'.5 MI E JCT RTS 107+SSP','RTE 908M','MASSAPEQUA CREEK',State Highway Agency,1959,,1018,Good,40.70565277810468,-73.4513472217038
1056611,Nassau,'AT FREEPORT-S OF SSP','RTE 908E','EAST MEADOW BROOK',State Highway Agency,1935,,0819,Fair,40.68409166701294,-73.5731055562364
1056612,Nassau,'AT FREEPORT-S OF SSP','RTE 908E','EAST MEADOW BROOK',State Highway Agency,1963,,0919,Fair,40.68449166673519,-73.57244166710541
1056629,Nassau,'AT EAST MEADOW-N OF SSP','RTE 908E','EAST MEADOW BROOK',State Highway Agency,1955,,0919,Good,40.71789166667803,-73.5806638894088
1056640,Nassau,'AT EAST MEADOW-N OF SSP','STEWART AV-MSP SB','MSP SB SR',State Highway Agency,1971,,1019,Good,40.735450000116494,-73.58723888894194
1056670,Nassau,'2.3 N OF HEMPSTEAD','LINDBERGH BLV-MSP','MSP S/B SR',State Highway Agency,1971,,1019,Good,40.72795277809306,-73.58165555582063
1056689,Nassau,'JCT RTS SSP+WSP','RTE 908T','DRAIN-FOREST C PK',State Highway Agency,1938,,0919,Good,40.701911111258426,-73.52119722231545
1056690,Nassau,'JCT RTS SSP+WSP','WSP SB TO SSP WB','DRAIN-FOREST C PK',State Highway Agency,1965,,0919,Good,40.701058332842,-73.521066666562
1056709,Nassau,'JCT RTS SSP+WSP','SSP WB TO WSP SB &','DRAIN-FOREST C PK',State Highway Agency,1965,,0919,Good,40.69978888915051,-73.52104166734591
1056739,Suffolk,'2.9 MI E JCT SH 231 & NSP','L.I. MOTOR PKWY','RTE 908K',State Highway Agency,1951,,0418,Fair,40.815858332729945,-73.28885277826811
1056759,Nassau,'NEAR EAST BAY IN NASSAU','RTE 908C','REYNOLDS CHANNEL',State Highway Agency,1934,1988,0318,Fair,40.59359999972806,-73.5872888891707
1056769,Nassau,'NEAR EAST BAY IN NASSAU','RTE 908C','LONG CREEK',State Highway Agency,1934,1992,0318,Fair,40.60477500012917,-73.56851944381023
1056779,Nassau,'NEAR EAST BAY IN NASSAU','RTE 908C','SWIFT CREEK',State Highway Agency,1999,,1019,Good,40.60928888918268,-73.55220833344616
1057010,Nassau,'NSP - .5 MI NE QNS CO LN','LAKEVILLE ROAD','RTE 908G',State Highway Agency,1932,1968,0218,Fair,40.75993333311751,-73.70371388903052
1057020,Nassau,'1.3 MI NE QUEENS CO LINE','NEW HYDE PARK RD','RTE 908G',State Highway Agency,1968,,0118,Fair,40.76558055572302,-73.69020555559055
1057049,Nassau,'.7 MILE E JCT SSP & WSP','WANTAGH  AVENUE','RTE 908M',State Highway Agency,1931,1957,0118,Fair,40.700005556034284,-73.50636944428456
1057060,Nassau,'NSP - 4.2 MI NE QNS CO LN','ROSLYN ROAD','RTE 908G',State Highway Agency,1968,,0218,Fair,40.78105833319277,-73.63933888920847
1057080,Nassau,'NSP - 5 MI EAST QNS CO LN','I.U. WILLETS ROAD','RTE 908G',State Highway Agency,1959,,0118,Fair,40.77218055572114,-73.62547222229331
1057090,Suffolk,'.2 MI E JCT SH 110 & SSP','GREAT NECK ROAD','SSP CLOSED GAS ST',State Highway Agency,1940,2009,1018,Fair,40.70758888879324,-73.42395277821267
1057100,Nassau,'0.5M E JCT RTS106&LIESSR','RTE 906A','RTE I495',State Highway Agency,1990,,0819,Fair,40.786705556212965,-73.52544722199326
1057110,Nassau,'LIE EXIT 42 TO NSP OV SSR','495I EB TO NSP EB','RTE 906A',State Highway Agency,1990,,0819,Good,40.7884222222714,-73.52213333331686
1057180,Nassau,'1.1 MI E JCT LIE & SH106','RTE 906B','LIRR PT JEFF BRCH',State Highway Agency,1990,,0818,Good,40.79320833292309,-73.51591388876976
1057240,Nassau,'1.2 MI E JCT NSP & I495','RTE 906B','WASHINGTON AVENUE',State Highway Agency,1997,,1019,Fair,40.78979166699504,-73.4554694441173
1057250,Nassau,'1.2 MI SE JCT NSP & I495','RTE 906A','WASHINGTON AVENUE',State Highway Agency,1997,,1019,Good,40.78876388913131,-73.45588888908297
1057350,Suffolk,'1.9 MI NE JCT SH110 & NSP','CARMAN ROAD','RTE 908G',State Highway Agency,1949,,0118,Good,40.807330556162036,-73.38074444366386
1057370,Suffolk,'1.1 MI W JCT SH 231 & NSP','DIX HILLS ROAD','RTE 908G',State Highway Agency,1949,,0118,Good,40.82532777799187,-73.36450833274458
1057399,Nassau,'RTE 25B+NSP WB','RTE 25B','RTE 908G',State Highway Agency,1958,2001,0319,Good,40.75993333311751,-73.62345277809357
1057430,Suffolk,'4.4 MI E JCT SH 231 & NSP','NEW HIGHWAY','RTE 908G',State Highway Agency,1964,,0218,Good,40.824316667048265,-73.26262777778348
1057500,Nassau,'NSP - 5.1 MI NE QUEENS C','RTE 908G','RTE I495',State Highway Agency,1968,,0118,Fair,40.78005555582714,-73.62675277791733
1057559,Suffolk,'1.5 MI E JCT RTS 231+27','RTE 908J','RTE 27',State Highway Agency,1969,,1119,Fair,40.725869444195645,-73.28688888858048
1057579,Nassau,'3 MI W JCT RTS SSP&WSP','RTE 908E','RTE 908M',State Highway Agency,1955,,0119,Fair,40.69083611125322,-73.5750166672061
1057651,Nassau,'JCT RTS SSP+WSP','RTE 908T','RTE 908M',State Highway Agency,1965,2012,0219,Good,40.69878888912725,-73.52013055556061
1057652,Nassau,'JCT RTS SSP+WSP','RTE 908T','RTE 908M',State Highway Agency,1956,2012,0219,Good,40.69858055580081,-73.51859166691875
1057680,Nassau,'0.1 MI W JCT SH 135 & SSP','SEAMANS NECK ROAD','RTE 908M',State Highway Agency,1957,,0619,Good,40.70130833271845,-73.49248055574415
1057700,Nassau,'JCT RTS 105 & WSP','RTE 105','RTE 908T',State Highway Agency,1967,1968,0219,Good,40.69212499999893,-73.5187361106265
1057710,Nassau,'1.5 MI E JCT RTS 135+SSP','NORTH BROADWAY','RTE 908M',State Highway Agency,1957,,0719,Good,40.70598611099838,-73.46126388941519
1057720,Nassau,'.5 MI E JCT RTS 107+SSP','RTE 907E','RTE 908M',State Highway Agency,1957,,0118,Good,40.705972221678756,-73.45268055604578
1057730,Nassau,'1.5 MI E JCT RTS 107+SSP','CARMANS ROAD','RTE 908M',State Highway Agency,1957,,0218,Good,40.706063888683175,-73.43328888901046
1057740,Suffolk,'.2 MI E JCT SH 110 & SSP','GREAT NECK ROAD','RTE 908M  CLOSED SERVICE',State Highway Agency,1959,,1018,Good,40.70786388888092,-73.42436111101833
1057750,Suffolk,'.1 MI N JCT SH 109 & SSP','NEW HIGHWAY','RTE 908M',State Highway Agency,1959,2013,1118,Good,40.71936111126692,-73.40665833331107
1057760,Suffolk,'.7 MI E JCT SH 109 & SSP','WELLWOOD AVENUE','RTE 908M',State Highway Agency,1960,2008,1118,Fair,40.72139444420365,-73.39455277757774
1057780,Suffolk,'2.2 MI W JCT SH 231 & SSP','LITTLE EAST NECK R','RTE 908M',State Highway Agency,1959,2012,1118,Good,40.730377778329775,-73.36446944377755
1057790,Suffolk,'1.3 MI W JCT RTS 231+SSP','BELMONT AVENUE','RTE 908M',State Highway Agency,1960,,0318,Good,40.732338888741964,-73.34602777839292
1057819,Nassau,'JCT RTS 135+SSP','RTE 135','RTE 908M',State Highway Agency,1966,1969,0419,Fair,40.7014000000128,-73.49036388867788
1057830,Suffolk,'1.3 MI E JCT RTS 231+SSP','UDALL ROAD','RTE 908M',State Highway Agency,1960,,1119,Good,40.73368333287071,-73.2962916669488
1057849,Suffolk,'1.8 MI E JCT RTS 231+SSP','RTE 908J','908M908M03011134  RTE 90',State Highway Agency,1951,,1119,Fair,40.73596944420817,-73.28783333325276
1057859,Suffolk,'2 MI E JCT RTS 231+SSP','BAY SHORE ROAD','908M908M07021083  RTE 90',State Highway Agency,1950,,1019,Fair,40.73781944419667,-73.28523333303777
1057869,Nassau,'1.3 MI W JCT RTS SSP+WSP','RTE 106','RTE 908M',State Highway Agency,1956,,0218,Fair,40.69414444397946,-73.54371111078318
1057929,Suffolk,'JCT RTS 109+SSP','RTE 109','RTE 908M',State Highway Agency,1961,,1119,Fair,40.718197221962896,-73.4081555562934
1057949,Suffolk,'JCT SH 110 & SSP','RTE 110','RTE 908M',State Highway Agency,1957,,1018,Fair,40.70716666670217,-73.42806388936437
1057959,Suffolk,'1.5 MI E JCT RTS 231+27','RTE 908J','RTE 27',State Highway Agency,1969,,1119,Fair,40.726561110809484,-73.28679166661223
1058010,Nassau,'NSP - .5 MI NE QNS CO LN','LAKEVILLE ROAD','RTE 908G',State Highway Agency,1968,,0118,Fair,40.759700000150154,-73.70379166696442
1058020,Nassau,'NSP-1.3 MI NE QUEENS C.LN','NEW HYDE PARK RD','RTE 908G',State Highway Agency,1932,1968,0618,Fair,40.765377777807814,-73.69015277777096
1058049,Nassau,'NSP - 3.1 MI NE QUEENS C','RTE 908G','SEARINGTOWN RD',State Highway Agency,1968,,0618,Fair,40.77901944405448,-73.66104722242831
1058059,Nassau,'NSP-3.7 MI NE QNS CL','RTE 908G','WILLIS AVENUE',State Highway Agency,1968,,0918,Good,40.78179999997152,-73.64950000018685
1058060,Nassau,'NSP - 4.2 MI NE QNS CO LN','ROSLYN ROAD','RTE 908G',State Highway Agency,1934,1968,0518,Fair,40.78085833289882,-73.63930555632157
1058079,Nassau,'NSP - 4.8 MI NE QNS CO LN','RTE 908G','LOCUST LANE',State Highway Agency,1934,1968,0118,Fair,40.780463889265306,-73.63261388898921
1058080,Nassau,'NSP-5 MI E QNS CL','I.U. WILLETS RD','RTE 908G',State Highway Agency,1934,1959,0118,Fair,40.77218333272668,-73.62577500035812
1058099,Nassau,'RTE 25+NSP','RTE 908G','RTE 25',State Highway Agency,1936,1989,0118,Fair,40.756594444003156,-73.62117222238682
1058101,Nassau,'.1 MI E JCT SH 25 & NSP','RTE 908G','GLEN COVE ROAD',State Highway Agency,1989,,0519,Fair,40.755880555797,-73.61896388943228
1058102,Nassau,'.1 MI E JCT SH 25 & NSP','RTE 908G','GLEN COVE ROAD',State Highway Agency,1938,,0519,Fair,40.75565555598287,-73.6188888890892
1058120,Nassau,'.9 MI E JCT RTE 25 & NSP','CARLE ROAD','RTE 908G',State Highway Agency,1998,,0518,Fair,40.75898055615727,-73.6048666672045
1058130,Nassau,'1.1 MI E JCT RTE 25 & NSP','ELLISON AVENUE','RTE 908G',State Highway Agency,1998,,0518,Fair,40.75987499978234,-73.60106111081019
1058140,Nassau,'1.4 MI E JCT RTE 25 & NSP','HICKS ROAD','RTE 908G',State Highway Agency,1998,,0518,Good,40.761458333277346,-73.59608333292012
1058150,Nassau,'1.6 MI E JCT RTE 25 & NSP','FULTON STREET','RTE 908G',State Highway Agency,1998,,0518,Good,40.7627305561603,-73.59030833255481
1058160,Nassau,'1.9 MI E JCT RTE 25 & NSP','POST ROAD','RTE 908G',State Highway Agency,1998,,0518,Good,40.76358611113484,-73.58675833338413
1058179,Nassau,'2.2 MI E JCT SH 25 & NSP','RTE 908G','CAMBRIDGE AVENUE',State Highway Agency,1938,1999,0218,Fair,40.765141666922105,-73.58199444436322
1058180,Nassau,'2.5 MI E JCT RTE 25 & NSP','POWELLS LANE','RTE 908G',State Highway Agency,1998,,0518,Fair,40.766680556227705,-73.5768944443906
1058199,Nassau,'JCT NSP + WSP','RTE 908T','RTE 908G',State Highway Agency,1938,,0218,Fair,40.77109999989682,-73.56664444421659
1058209,Nassau,'.2 MILE EAST JCT NSP &WSP','RTE 908G','BRUSH HOLLOW ROAD',State Highway Agency,1940,,0218,Fair,40.771383333307426,-73.56374999960764
1058210,Nassau,'.9 MI E NSP+WSP','CANTIAGUE ROCK RD','RTE 908G',State Highway Agency,1947,,0218,Fair,40.773694443974236,-73.55103333256292
1058229,Nassau,'1.2 MI E NSP+WSP','RTE 908G','PED PARK ROAD',State Highway Agency,1947,,0218,Fair,40.77488611095162,-73.54468888924073
1058239,Nassau,'1 MI NE JCT NSP+ROUTE 107','RTE 908G','LIRR-PT JEFF BRCH',State Highway Agency,1947,,0918,Fair,40.79124166703247,-73.51628611109761
1058249,Nassau,'1.1 MI NE JCT NSP+RTE 107','RTE 908G','MILLER PLACE',State Highway Agency,1947,,0218,Good,40.79141388901072,-73.51540277791582
1058259,Nassau,'1.8 MI NE JCT NSP & SH107','S OYSTER BAY ROAD','RTE 908G',State Highway Agency,1947,,0218,Fair,40.7930499996673,-73.5035166671317
1058260,Nassau,'.1 MI W JCT RTE 495+ NSP','WOODBURY ROAD','RTE 908G',State Highway Agency,1946,,0418,Fair,40.79512777771279,-73.48993611093958
1058270,Nassau,'.4 MI E JCT RTE 135+ NSP','MANETTO HILL ROAD','RTE 908G',State Highway Agency,1947,,0318,Good,40.79560555587043,-73.47987222192953
1058280,Nassau,'.4 MI E JCT RTE 495+ NSP','SUNNYSIDE BLVD','RTE 908G',State Highway Agency,1947,,0318,Good,40.798869444022394,-73.46806944426102
1058299,Nassau,'1.4 MI E JCT RTE 495+NSP','RTE 908G','PLAINVIEW ROAD',State Highway Agency,1947,,0218,Fair,40.80515000024108,-73.44982777799463
1058309,Suffolk,'1.9 MI E JCT RTE 495+NSP','RTE 908G','ROUND SWAMP ROAD',State Highway Agency,1947,,0819,Fair,40.802052778162164,-73.441686111216
1058319,Suffolk,'.4 MI W JCT RTE 110+NSP','RTE 908G','SWEET HOLLOW ROAD',State Highway Agency,1947,,0218,Fair,40.79784166726888,-73.42151666663808
1058321,Suffolk,'JCT RTE 110+NSP','RTE 908G','110  11007011089 S.B.  1',State Highway Agency,2012,,0719,Good,40.796022221698415,-73.41391666690782
1058322,Suffolk,'JCT RTE 110+ NSP','RTE 908G','110  11007011089 S.B.  1',State Highway Agency,2012,,0719,Good,40.7959305562159,-73.413913889317
1058330,Suffolk,'.5 MI E JCT RTE 110+NSP','NEW YORK AVENUE','908G908G07021025  RTE 90',State Highway Agency,1949,,0719,Good,40.79885833298169,-73.40449166691434
1058349,Suffolk,'.6 MI E JCT RTE 110+NSP','OLD COUNTRY ROAD','908G908G07021027  RTE 90',State Highway Agency,1949,,0719,Fair,40.79891944402242,-73.40221666728768
1058350,Suffolk,'1.9 MI NE JCT RTE 110+NSP','CARMAN ROAD','RTE 908G',State Highway Agency,1949,,0118,Good,40.807125000273494,-73.38063333284298
1058369,Suffolk,'2.1 MI NE JCT RTE 110+NSP','RTE 908G','WOLF HILL ROAD',State Highway Agency,1949,1989,0118,Fair,40.80991388869981,-73.37912777798638
1058370,Suffolk,'1.1 MI W JCT RTS 231+NSP','DIX HILLS ROAD','RTE 908G',State Highway Agency,1949,,0118,Good,40.82516111133824,-73.36438055637852
1058399,Suffolk,'JCT NSP + RTE 231','RTE 908G','RTE 231',State Highway Agency,1950,,0218,Fair,40.823488889039574,-73.34340277806352
1058409,Suffolk,'2.6 MI E JCT RTS 231+NSP','RTE 908G','COMMACK ROAD',State Highway Agency,1951,,0218,Fair,40.81855833279302,-73.2935833326054
1058410,Suffolk,'2.9 MI E JCT RTS 231+NSP','HARNED RD','SGSP NB TO NSP EB',State Highway Agency,1964,2012,0219,Fair,40.817555556147724,-73.28729999987536
1058420,Suffolk,'2.9 MI E JCT RTS 231+NSP','HARNED ROAD','RTE 908G',State Highway Agency,1964,,0218,Fair,40.818191666791975,-73.28725277813578
1058430,Suffolk,'4.4 MI E JCT SH 231 & NSP','NEW HIGHWAY','RTE 908G',State Highway Agency,1964,,0218,Good,40.82423333318313,-73.26217222233998
1058480,Nassau,'WSP NEAR EAST BAY-NASSAU','RTE 909','RTE 908T',State Highway Agency,1934,,0818,Fair,40.60016388916632,-73.50862777836608
1058499,Nassau,'Jones Beach','RTE 908','Sloop Channel',State Highway Agency,2008,,1018,Good,40.61438888874825,-73.50068888919489
1058509,Nassau,'WSP NEAR EAST BAY-NASSAU','RTE 908T','GOOSE CREEK',State Highway Agency,1930,2011,0419,Fair,40.62286944399904,-73.5012388890158
1058519,Nassau,'4.1 MI S JCT RTS SSP &WSP','RTE 908T','SEAMANS ISLAND CK',State Highway Agency,1996,,0318,Good,40.64009444426151,-73.50721111090851
1058529,Nassau,'2.4 MI S JCT RTS SSP+WSP','RTE 908T','MERRICK ROAD',State Highway Agency,1931,,0619,Fair,40.6641611106987,-73.51205277786337
1058530,Nassau,'1.7 MI S JCT SSP & WSP','PARK AVENUE','RTE 908T',State Highway Agency,1931,1965,0219,Good,40.674347221970216,-73.51343888912653
1058550,Nassau,'JCT RTS SSP+WSP','WSP SB TO SSP EB','RTE 908T',State Highway Agency,1965,2012,0119,Good,40.696938889113916,-73.5190055558044
1058560,Nassau,'JCT RTS SSP+WSP','WSP NB TO SSP WB','RTE 908T',State Highway Agency,1965,2012,0219,Good,40.70014166722703,-73.52035555569151
1058570,Nassau,'1.3 MI SE JCT WSP & SH 24','NORTH JERUSALEM RO','WANTAGH STATE PARKWAY NB',State Highway Agency,1938,2001,0319,Fair,40.70771944416057,-73.52626666699207
1058580,Nassau,'.3 MI N JCT SH 106 & WSP','SALISBURY PARK DR','WANTAGH STATE PARKWAY NB',State Highway Agency,1938,2001,0319,Fair,40.73379722191225,-73.54298888865095
1058590,Nassau,'1.3 MI N JCT SH 106 & WSP','STEWART AVENUE','908T908T03011110  RTE 90',State Highway Agency,1938,,0619,Fair,40.74826944418241,-73.54749999983571
1058600,Nassau,'1.3 MI SE JCT NSP & WSP','OLD COUNTRY ROAD','WANTAGH STATE PARKWAY NB',State Highway Agency,1938,2001,0319,Good,40.75648888887274,-73.55055833308512
1058619,Nassau,'1 MI SE JCT NSP + WSP','RTE 908T','LONG ISLAND- M.L.',State Highway Agency,1938,,0919,Fair,40.76112777804078,-73.55363055608541
1058620,Nassau,'.8 MI SE JCT NSP & WSP','PROSPECT AVENUE','908T908T03011126  RTE 90',State Highway Agency,1938,,0519,Fair,40.76343333276188,-73.55556388868037
1058639,Nassau,'.1 MI SE JCT NSP & WSP','RTE 908T','BRUSH HOLLOW ROAD',State Highway Agency,1938,,0519,Fair,40.77034444389771,-73.56468888909819
1058770,Suffolk,'AT FIRE ISLAND INLET','RTE 908J','FIRE ISLAND INLET',State Highway Agency,1962,2001,0619,Fair,40.62522222212804,-73.26186944427515
1058780,Suffolk,'AT FIRE ISLAND INLET','RTE 908J','909D909D07021038  RTE 90',State Highway Agency,1963,2013,1019,Fair,40.63959166671149,-73.263600000161
1058791,Suffolk,'AT FIRE ISLAND INLET','RTE 908J','STATE BOAT CHANNL  908J',State Highway Agency,1951,1994,1019,Fair,40.642558332835016,-73.26367222201486
1058792,Suffolk,'AT FIRE ISLAND INLET','RTE 908J','STATE BOAT CHANNL  908J',State Highway Agency,1967,1993,1018,Fair,40.64252777805469,-73.26330555576708
1058811,Suffolk,'AT FIRE ISLAND INLET','RTE 908J','GREAT SOUTH BAY',State Highway Agency,1951,2000,1118,Fair,40.6593472220601,-73.26480555634025
1058812,Suffolk,'AT FIRE ISLAND INLET','RTE 908J','GREAT SOUTH BAY',State Highway Agency,1967,2011,1119,Good,40.65941111086662,-73.26445277804672
1058839,Suffolk,'IN WEST ISLIP','RTE 908J','RTE 27A',State Highway Agency,1952,,0418,Fair,40.69663333298754,-73.2883944443354
1058849,Suffolk,'.9 MILE S JCT SH 27 & RMC','RTE 908J','UNION BLVD- CR 50  LONG',State Highway Agency,1952,,0819,Fair,40.71231944378394,-73.28865555584244
1058859,Suffolk,'1.5 MI E JCT RTS 231+27','RTE 908J','27  27 07051081  RTE 27',State Highway Agency,1952,,1119,Fair,40.72613611096354,-73.28685277810271
1058869,Suffolk,'1.5 MI E JCT RTS 231+27','RTE 908J','MUNCEY ROAD',State Highway Agency,1952,,1119,Fair,40.728225000323874,-73.28655277762874
1058879,Suffolk,'2 MI E JCT RTS 231+SSP','BAY SHORE ROAD','RMC NB TO SSP EB',State Highway Agency,1950,,1119,Fair,40.7370416666821,-73.28381944406934
1058910,Suffolk,'2.7 MI NE JCT SH 231 & SS','RTE 908M','RTE 908K',State Highway Agency,1961,,0818,Fair,40.74555277770938,-73.27895000030765
1058920,Suffolk,'2.7 MI NE JCT SH 231 & SS','SGSP SB TO SSP EB','RTE 908K',State Highway Agency,1961,,0818,Fair,40.74710833286373,-73.2789972220472
1058939,Suffolk,'4.9 MI S JCT RTS 454+25','RTE 908K','PINE AIRE DRIVE',State Highway Agency,1951,,0318,Fair,40.77183055616784,-73.27997222201549
1058949,Suffolk,'4.9 MI S JCT SH454 & SH25','RTE 908K','LONG ISLAND-MAIN',State Highway Agency,1952,2009,0918,Fair,40.77259166693322,-73.27994444431027
1058950,Suffolk,'3.5 MI S JCT RTS 454+25','HOSPITAL ROAD','RTE 908K',State Highway Agency,1951,,0418,Fair,40.79243333274589,-73.27853055624023
1058960,Suffolk,'3.1 MI S JCT RTS 454+25','CROOKED HILL ROAD','RTE 908K',State Highway Agency,1951,1999,0818,Good,40.79761111075411,-73.27874166662022
1058989,Suffolk,'2.8 MI E JCT RTS 231+NSP','RTE 908G','908K 908K07011050  RTE 9',State Highway Agency,1953,,0619,Fair,40.818324999746956,-73.28969722158462
1058990,Suffolk,'1 MI S JCT RTS 454+25','NEW HIGHWAY','RTE 908K',State Highway Agency,1953,,0218,Fair,40.82749166702734,-73.2855694439895
1059009,Suffolk,'.4 MI NE JCT RTS 454+25','RTE 908K','RTE 25',State Highway Agency,1954,,0518,Fair,40.84370555602898,-73.28155833329525
1059010,Suffolk,'1.4 MI NE JCT RTS 454+25','SCHOLAR LANE','RTE 908K',State Highway Agency,1955,,0218,Fair,40.86001388922886,-73.27630555594392
1059020,Suffolk,'1.7 MI S SMSP+RTE 25A','OLD NORTHPORT RD','RTE 908K',State Highway Agency,1955,,0218,Fair,40.87543055593056,-73.27946944393413
